# x(um) y(um) residual(um) curvature(1/mm)
-1143.7331053217088 -23.690802164457455 -153.61043015133416 24.015230985212007
-1135.80069881254 -20.543111329396606 -162.59678111109417 191.9659949520284
-1127.764222943593 -18.657309492152244 -170.27021176874464 81.7839936000415
-1126.8801514771826 -21.185083872658783 -157.39492051244267 -1.0464130769739348
-1118.7716275899272 -20.172897495441227 -164.15030764848336 -0.14045756767630926
-1110.5670396782614 -20.32553173159268 -169.698365817616 12.617490420082039
-1102.1863343885097 -22.61367042558749 -173.0695413113017 122.88197124183736
-1093.645522391406 -26.843176808530746 -174.46842473145935 60.71734939491744
-1085.0967050589352 -31.169751575921428 -175.7494059957596 146.33056844804597
-1076.4758397081562 -36.36994180333891 -176.13810605430214 73.56529177574554
-1067.8629796927448 -41.47306364630891 -176.60630118679202 135.44886163133606
-1059.2100930004956 -47.06152741151608 -176.57454603262764 138.16869110470697
-1050.493163625306 -53.42653825230263 -175.75694053243149 115.93737076885452
-1041.672164890338 -61.05343809090567 -173.67811693660664 76.12528869811271
-1032.85116615537 -68.68033792950872 -171.59236886992062 35.662422486302795
-1023.9901407435642 -76.79257969034882 -169.02165443313746 17.71093719081603
-1118.1277161845437 -19.788620342525153 -154.2060499808757 2.077028869575148
-1109.8911069314074 -20.329528116466296 -159.36060609424027 1.0572513604139824
-1101.4783803001849 -23.005940348250792 -162.3396489516765 -1.214739946002698
-1092.9615843091844 -26.944241577851784 -164.028537739932 -0.4103185134222953
-1084.3807456352433 -31.65908988303215 -164.9192149137789 -4.668323698978445
-1075.8639496442427 -35.59739111263314 -166.5656813049048 -1.4156569168426243
-1067.2510896288313 -40.70051295560314 -167.03010906253792 -2.449612353370647
-1058.598202936582 -46.28897672081032 -166.99458992887284 -2.0505622673283264
-1049.8812735613924 -52.653987561596864 -166.17322588174628 -2.127305328105158
-1041.0922961678948 -59.892613862410215 -164.47486633062124 -0.1508568248835524
-1032.2392760914565 -67.90778723880295 -162.0011547812276 -3.6627103600526962
-1023.3862560150183 -75.92296061519562 -159.52229930077814 -3.2146087869544395
-1014.4932092617422 -84.42347591382547 -156.56141053469065 1.50219625850486
-1005.5040984840555 -94.0888118258244 -152.4560194727943 -5.054640261459593
-996.5790303893092 -102.97760066224392 -149.11259233756124 -3.7237672221077553
-962.0795583154583 -123.97249834080864 -149.8350203665272 39.12772993515856
-953.7709010440142 -125.38702157477664 -153.68477590543748 36.91593591477972
-945.5663131323483 -125.53965581092815 -158.72448714515934 32.484164502068325
-937.3537198853151 -125.78935843152703 -163.63681351918146 35.89555767227193
-929.1811533151196 -125.55371912988885 -168.9837869614519 38.76464576242362
-921.0486134217617 -124.83273790601356 -174.7635759044923 104.12318559259002
-1109.3752808919048 -18.392156812391402 -150.97364123477425 -0.2052484757128984
-1100.97055959605 -20.971500659728477 -154.0444043153958 -2.6386533115962343
-1092.4217422635788 -25.298075427119155 -155.33833519071743 -14.529797676873892
-1083.9049462725784 -29.236376656720147 -156.9999732861159 -11.496214079479943
-1075.3881502815777 -33.174677886321135 -158.63970357661748 -1.5945652411718545
-1066.7752902661662 -38.27779972929113 -159.09715646142925 -6.020532628669098
-1058.122403573917 -43.866263494498305 -159.0545629665274 -2.831189784837831
-1049.4054741987275 -50.23127433528486 -158.2259653766993 -3.7291157692487773
-1040.5844754637594 -57.8581741738879 -156.135899849289 -7.423259431191084
-1031.7954980702616 -65.09680047470125 -154.42232261872974 -0.08561643056772132
-1022.9424779938234 -73.11197385109394 -151.93499538188527 0.13651401653262518
-945.0184657513753 -123.99055804464295 -149.8462541599098 -8.500555293772303
-936.7818564982393 -124.5314658185841 -154.47253144877905 -3.8648044896662297
-928.6092899280437 -124.29582651694592 -159.81508964478036 2.251943127383037
-920.33265399807 -125.32207621312422 -163.90767076830005 -0.16090220451566126
-911.9519487083177 -127.61021490711904 -166.75565056622054 18.45200486149785
-903.1309499733499 -135.2371147457221 -164.4535260317603 81.97926990788297
-893.7335670919174 -149.8529382645395 -155.4598794721635 77.83428574326432
-815.777533507999 -201.1197959958782 -150.78507960456975 63.75511674937299
-1092.1140549436327 -20.836926127411335 -149.46829293684215 5.3675342323312405
-1083.6052642879997 -24.678158972564905 -151.21663670187985 8.062125123138964
-1075.016420278691 -29.490075662192698 -151.9735199139073 -4.072253440638542
-1066.4355816047498 -34.204923967373006 -152.80845816530305 4.353437413559773
-1057.7506735710303 -40.181661270369865 -152.3693458088115 -2.524971006326515
-1049.0657655373109 -46.15839857336673 -151.91617379912793 7.218908672756525
-1040.2447668023428 -53.78529841196978 -149.8148735655584 0.7786470696666236
-927.9573731872924 -124.00861774847726 -149.70993439110856 -2.965668310647982
-919.6487159158482 -125.42314098244528 -153.42552912373682 0.897357575968812
-911.1719466016855 -128.87610028980913 -155.15142404320014 -0.11913114678537265
-902.3829692081877 -136.11472659062252 -153.22249957828706 0.7843427965453362
-43.982839005325786 -868.4697272570329 150.40703422052937 68.38832693106527
-34.68152014830414 -881.9207301624813 157.70554617945692 99.05070768516427
-25.45224930959056 -894.4981176079028 164.3394870931848 108.8979270360231
-16.695293257563062 -901.3484703709265 166.76867322710692 21.881635752207377
-8.522726687367525 -901.1128310692883 164.0383786286381 616.066233792791
-0.7664375562851602 -895.8296357763842 157.66251355216792 -316.66657817864433
6.757696849137936 -887.7314573345049 149.27858650954957 46.59404203820161
-35.23040371268692 -867.0732637268993 157.34632097019016 -8.710793746969756
-25.72895147147627 -882.9509762435332 166.4507784848963 -29.30641505132283
-16.803883376729996 -891.8397650799528 170.40033061387803 -97.73571037120168
-8.599295465064213 -891.9923993161043 167.96870966232999 -103.21060723426535
-0.9710916998628234 -885.1561098720413 160.46708506159737 -29.349937087594235
6.44897334578198 -875.7960424323454 151.16762303849623 -6.868438034626956
-36.53178880162044 -843.1013691532595 150.20496990528284 -11.763803376448761
-26.62206445666418 -863.9295692767121 163.0413130967776 -28.01127667326703
-17.456836300891073 -875.7304096465542 169.17804563968699 -61.66521545771497
-9.212221712387494 -876.3683858049428 167.1260591599303 -66.22489633443679
-1.5519966057158534 -869.9203698986696 159.91881348330242 -30.608190848275555
5.932111122869437 -861.336849534553 151.19321406362312 -17.652573429195677
-19.302584194818756 -845.1578649304897 157.2627876181037 -26.371301727495656
-10.689724179407357 -850.2609867734598 158.5442021951834 -33.400673032471225
-2.7493123348710875 -847.2103643228463 153.8515039436429 -26.87484942167866
-1255.9854959440318 207.892531277084 149.45903761916824 -95.63369975188621
-1264.0585139138377 214.64181927078664 158.57805450330738 48.47833655950554
-1256.0220380448907 216.527621108031 150.66588925540702 -5.439102131185237
-1264.1991253744748 224.53879809955012 158.43100551575395 70.3375992731552
-1256.0986068225873 225.64805286121515 151.3525495141961 7.693489477029381
-1264.2756941521716 233.65922985273428 159.09577454986308 104.85433198331779
-1256.1671702649162 234.67141622995183 152.1333351626867 58.67853845659604
-1272.1085520609504 237.49646631301425 171.26698854427974 33.839602681826726
-1263.9680068322252 238.12037915244213 164.68776275614573 11.449105556466883
-1255.8995096218082 239.61790745189683 157.2199586533222 25.775200228014963
-1247.7589643930826 240.24182029132467 150.7129968034487 19.11318940209173
-1271.4646406555667 237.88074346593035 181.1726453227228 -9.815564199848813
-1263.3561167683115 238.8929298431479 174.18557523544504 -0.07545189828282566
-1255.319640899365 240.77873168039227 166.31080810773372 -0.25931744063486817
-1247.2831650304176 242.66453351763664 158.47448954455638 -0.6013886594138935
-1239.2867158383085 245.03567727711814 150.16413686867696 -8.552952838471406
-1270.6446118720967 236.12951616100315 193.34221328807445 -6.848369240950285
-1262.5761146616794 237.62704446045785 185.8421855564306 2.923232752468444
-1254.6036814756726 240.28939337328157 177.14770014114487 -1.2189726277931567
-1246.7753443262825 244.69897320615894 166.64642467398212 -14.295192278433966
-1239.0110498598326 249.88510011461568 155.36769996572974 -20.62427314534204
-1277.6929469148547 230.4540509454357 215.62127988461125 -37.10323415007721
-1269.760540405686 233.60174178049658 206.33397775042405 1.6211609206744462
-1261.8281338965173 236.74943261555745 197.0875593449742 -5.057852466242542
-1254.0318180885972 241.5472859862245 186.13654566911146 -24.071246082375197
-1246.4756623417036 249.2571908903142 172.1498289521644 -24.105912553101906
-1239.0475919606913 258.52018994556266 156.5671883148972 -7.44670519871813
-1277.049035509471 230.8383280983518 225.5240504114456 -40.900044419502485
-1269.1806716832425 234.76256600899205 215.417543379225 -10.339853950647319
-1261.3843558753226 239.56041937965912 204.42828500420524 -25.187991780354718
-1253.8602214698994 247.6585978215385 189.9896289527568 -13.923245077157967
-1246.648295143811 259.5424432568674 171.59017191317835 0.13033533118313734
-1239.5644541836039 272.9793828433551 151.59231887330228 11.449445915063572
-1276.6773055065842 234.52293032248028 231.92743194644737 -130.73172622014243
-1268.808941680356 238.44716823312052 221.82703872472928 -52.903341801652346
-1261.2207645919923 245.76879959942053 208.17007544955496 -21.64679056579875
-1253.936790247596 256.77902957472264 190.65152635014346 -5.77860194481711
-1247.0210613301078 272.25440523460617 168.4466516293862 5.729131330080445
-1284.7823448178603 241.66049185397262 240.63016903776582 -33.338575248639145
-1276.6818262659729 242.76974661563762 233.48830775959487 -66.15951530937897
-1268.8454837812149 247.08225806406756 222.98572041137578 -34.340246585021546
-1261.321349375792 255.18043650594694 208.5117865244643 -11.876939169208763
-1254.1734657326438 267.84082901685525 189.24550048620085 1.7295406810596665
-1247.3377901688311 284.286888521213 166.00677240404033 6.617115001178543
-1285.1631163395243 254.46952221615882 237.3178926046283 -98.6927404851234
-1276.9185017510208 253.83154605777017 232.05093486510137 -67.42634421038157
-1269.0261219186898 257.46457881506814 222.28141468974627 -39.207774705732355
-1261.5019875132668 265.5627572569476 207.81372270067487 -6.682777903421821
-1254.2820558518108 277.34953430782906 189.47594392006917 0.025265546547660576
-1247.4063536111603 293.31025188994965 166.7497696852732 3.374948144604183
-1285.6479572209666 268.54044157616147 232.6424754166906 -77.91454288396105
-1277.3392999495227 267.1259183421935 228.22420010652553 -44.10754247899015
-1269.3028240805754 269.0117201794378 220.32706832757387 -46.22564575872177
-1261.5705509555958 274.58612062568426 208.54876166032346 -29.20345468062899
