eff_floor,ler,ler_philips,sys_prod,sys_lab,sys_doe,cri_ra,Rf,Rg,r9,worst_ri,cct
200,290.4,200.0,102.8,134.0,162.6,97.0,98.16529471374693,99.90010802857077,83.92445885030888,92.9,2750
210,303.5,210.0,107.9,140.7,170.7,97.0,97.93540131259883,98.68922067693492,90.71298949740587,94.6,2750
220,316.5,220.0,113.1,147.4,178.9,97.0,97.48629500698534,98.38953699725724,94.49915785465433,93.4,2750
230,328.3,230.0,118.2,154.1,187.0,97.0,96.69598369725347,98.90476366122016,84.65627493379004,94.1,2746
240,341.1,240.0,123.4,160.8,195.1,97.0,95.76588805491272,97.79646056979733,80.70811228564091,92.8,2750
250,354.4,250.0,128.5,167.5,203.3,97.0,94.9811566165595,97.3287625225249,82.70860634322067,93.7,2750
255,360.9,255.0,131.1,170.9,207.3,97.0,94.45580911668998,97.01418388928306,82.8549483596398,94.3,2750
260,367.4,260.0,133.6,174.2,211.4,96.6,93.89892907484966,96.58432588268056,78.31231976375554,92.8,2749
265,374.2,265.0,136.2,177.6,215.4,95.7,93.157539775642,95.88049435179933,69.35202969751512,89.3,2750
270,381.0,270.0,138.8,180.9,219.5,95.0,92.49236400631885,95.34204774578053,63.48873750793259,87.1,2750
275,388.7,274.7,141.2,184.0,223.3,94.7,91.18757043942372,95.28920899760317,67.40757216310205,87.9,2750
280,394.9,279.0,143.4,186.9,226.8,94.0,90.24382625000274,95.1123036890347,63.43743349259659,86.6,2751
285,401.6,283.3,145.6,189.8,230.3,93.4,89.07257787160165,95.45386424886277,58.67410540467303,85.3,2752
290,407.3,287.0,147.5,192.3,233.3,92.1,87.99385619308117,94.38176837000599,52.07242497662466,82.2,2753
295,408.9,286.8,147.4,192.1,233.2,87.4,87.40101525720293,89.12648434829862,39.21262812745722,76.8,2758
300,419.7,294.5,151.4,197.3,239.4,89.7,82.04200477700948,86.84330129649922,46.49440785138479,79.7,2755
305,414.4,290.3,149.2,194.5,236.0,81.2,70.08408923026029,71.98754002142589,35.278924478584244,70.4,2764
310,420.8,293.8,151.0,196.9,238.9,79.4,68.0592257671469,68.51870564439737,31.77589396236462,68.4,2766
315,426.6,298.5,153.5,200.0,242.7,81.9,81.7812662433041,85.38733470295209,18.06984343140772,68.6,2766
320,432.1,301.2,154.8,201.8,244.9,79.6,75.97485483613802,74.21832081474372,17.047467673295856,66.3,2768
