3.8e-7 508.27589217426225
3.8099744245524296e-7 595.6074888318374
3.819948849104859e-7 697.8153221831416
3.8299232736572886e-7 817.412360946566
3.839897698209718e-7 957.447836706873
3.8498721227621475e-7 1121.2789379440546
3.859846547314577e-7 1312.9083804087707
3.8698209718670064e-7 1581.2696203851165
3.879795396419436e-7 1910.7981652863882
3.8897698209718654e-7 2308.594867908452
3.899744245524295e-7 2774.7565032015855
3.9097186700767243e-7 3331.189226973618
3.919693094629154e-7 3998.522125967896
3.9296675191815833e-7 4734.6287038372375
3.939641943734013e-7 5584.239403734051
3.949616368286442e-7 6585.20964202625
3.9595907928388717e-7 7728.116046472916
3.969565217391301e-7 9051.955791527045
3.9795396419437306e-7 10600.84139091376
3.98951406649616e-7 12673.938168971366
3.9994884910485896e-7 15304.872068164383
4.009462915601019e-7 18479.003414388382
4.0194373401534485e-7 22441.625581793167
4.029411764705878e-7 27350.912458980696
4.0393861892583075e-7 33328.94762211747
4.049360613810737e-7 39217.50751092959
4.0593350383631664e-7 44906.41773546932
4.069309462915596e-7 51412.724133976095
4.0792838874680254e-7 58363.13824933338
4.089258312020455e-7 65708.96183695723
4.0992327365728843e-7 73968.33061267364
4.109207161125314e-7 86163.5910739973
4.119181585677743e-7 104603.47492489331
4.1291560102301727e-7 126971.16225991731
4.139130434782602e-7 152807.57490842848
4.1491048593350317e-7 181552.3731860021
4.159079283887461e-7 215673.61492055494
4.1690537084398906e-7 253049.1286385861
4.17902813299232e-7 289990.8341220381
4.1890025575447495e-7 332279.138655195
4.198976982097179e-7 382498.8330195145
4.2089514066496085e-7 445435.257243388
4.218925831202038e-7 518656.40506436804
4.2289002557544674e-7 604591.5944265857
4.238874680306897e-7 707570.8107111101
4.2488491048593264e-7 827979.6407815693
4.258823529411756e-7 971680.890502508
4.2687979539641853e-7 1.1560044928824448e6
4.278772378516615e-7 1.3751135348468192e6
4.2887468030690443e-7 1.6248427426548146e6
4.298721227621474e-7 1.833493002958399e6
4.308695652173903e-7 2.0686715808955026e6
4.3186700767263327e-7 2.335325601066542e6
4.328644501278762e-7 2.660111353109428e6
4.3386189258311916e-7 3.029686726652433e6
4.348593350383621e-7 3.4499861162539427e6
4.3585677749360506e-7 3.914343485270132e6
4.36854219948848e-7 4.440656483453389e6
4.3785166240409095e-7 5.037121836700209e6
4.388491048593339e-7 5.71305663636923e6
4.3984654731457685e-7 6.478918272221726e6
4.408439897698198e-7 7.346569534932737e6
4.4184143222506274e-7 8.491352604818618e6
4.428388746803057e-7 9.832930997935811e6
4.4383631713554863e-7 1.1385137683875822e7
4.448337595907916e-7 1.3180548647367025e7
4.4583120204603453e-7 1.52572717878417e7
4.468286445012775e-7 1.765917813578229e7
4.478260869565204e-7 1.9942899072491467e7
4.4882352941176337e-7 2.2379392884038877e7
4.498209718670063e-7 2.511074073962749e7
4.5081841432224926e-7 2.867889478488167e7
4.518158567774922e-7 3.295382560298534e7
4.5281329923273516e-7 3.78618175701421e7
4.538107416879781e-7 4.258642667257122e7
4.5480818414322105e-7 4.743749821419641e7
4.55805626598464e-7 5.2835460304021545e7
4.5680306905370695e-7 5.8848008812832005e7
4.578005115089499e-7 6.554209295067923e7
4.5879795396419284e-7 7.298992334019023e7
4.597953964194358e-7 8.006854378241885e7
4.6079283887467874e-7 8.687081120728114e7
4.617902813299217e-7 9.424119737624851e7
4.6278772378516463e-7 1.0192740466058892e8
4.637851662404076e-7 1.0993566147084303e8
4.647826086956505e-7 1.1856105961612813e8
4.6578005115089347e-7 1.267376933150229e8
4.667774936061364e-7 1.3412938705067667e8
4.6777493606137937e-7 1.4193803492977697e8
4.687723785166223e-7 1.5004413930584115e8
4.6976982097186526e-7 1.5838502424752614e8
4.707672634271082e-7 1.6717323082940853e8
4.7176470588235116e-7 1.7694797841829836e8
4.727621483375941e-7 1.8825377013473934e8
4.7375959079283705e-7 2.0026272200238273e8
