# x(um) y(um) residual(um) curvature(1/mm)
4383.052354860489 775.9998806592268 636.7613232051331 -12.490497076449897
4377.459981196848 781.6941668965958 642.6786879384398 -18.774138135039248
4371.807014543341 787.3613905745211 648.6849620638917 -14.038067988207041
4349.749616121096 793.0194888411197 642.3829140271647 -3.9447590391749676
4365.184560052003 792.5956133013477 656.1351201264928 -13.465177601950318
4398.191471043621 800.0198800002431 643.749461421272 -2.002201326475696
4343.127161629757 798.2537115679462 649.8514246152864 -3.749787015120464
4357.532024732967 797.3697725176315 665.124084600089 -14.28535552001345
4390.538935724586 804.7940392165269 652.6932115031573 -0.2297230325177233
4334.383952493161 802.5407447142438 660.4923317450886 -1.3544164788064728
4349.818896424067 802.1168691744718 674.2086377339916 -11.517473509456883
4381.795726587989 809.0810723628247 663.2695165249825 -2.9362006218812833
4322.627362347885 812.7994780862679 638.8661350174493 0.993233865244974
4325.701336346428 806.8548404199852 671.051037527325 -2.0863413620798186
4341.136280277336 806.4309648802132 684.7479932919931 -12.764735815390646
4373.113110441256 813.395168068566 673.7637913565685 -0.04800404622340629
4416.420829709844 825.420069872887 645.9453719054359 2.735609926063588
4312.914665373455 816.6535102814667 650.9778470047308 2.0530047251307635
4316.958127209832 811.1418735662828 681.7088083428686 -4.458330968052319
4333.423151968435 811.1780615370535 693.8446046594585 -7.579863009248817
4363.339820476962 817.2221377043211 685.897218877354 -1.3832352458219521
4404.64797108002 828.3539750470006 661.0015607662356 -1.3304639116437125
4306.292210882116 821.8877330082933 658.4624705981977 -1.2720512146739331
4310.335672718494 816.3760962931094 689.1946523695714 -3.704704363288156
4324.740535821703 815.4921572427947 704.3990331303761 -9.569941357925572
4352.597042674837 820.6161063889774 699.4934978838779 -4.6872350491110595
4393.84460028803 831.7208811722132 674.6258934623304 0.476946045221077
4443.393397512663 846.5332265992333 637.4578843257938 -0.6069417671115858
4298.5790825732165 826.6348296651335 667.5878210285321 3.5709135821093723
4303.713218227154 821.6103190199358 696.6823838943333 -1.676373509176625
4316.057919674971 819.8062529485361 714.961752065142 -10.178448131142485
4342.823752710544 824.4430760247325 711.6518053503409 -3.651399592352973
4382.071741658207 834.6547863463269 689.7164055573226 -0.5404116904440259
4430.5298650652785 848.9800057033607 654.1026199227016 -0.7823886849628492
4291.003408728592 838.7608796387714 639.6886699755489 0.17562773794505343
4292.986708909575 832.3291159025025 673.5285209360121 -2.913185491054166
4296.000089918255 826.3574156767761 705.8110259356785 -0.46174211288789435
4307.314710538374 824.0932860948338 725.6237338428689 -16.384403252396925
4333.111055736114 828.2971082199313 723.730911398998 -4.395025489454866
4370.23829003852 837.5616289609969 704.9156353002738 -1.4351755497747007
4417.726925607759 851.4538473669319 670.677965493556 0.7138741240801211
4283.290280419693 843.5079762956116 648.8183636597383 -1.1836456026431732
4285.273580600675 837.0762125593426 682.6611271065817 1.5410542249625576
4289.377635426917 831.5916384036026 713.3042257453493 -5.2305873704835335
4301.722336874733 829.7875723322028 731.5587365490201 -9.219188480130354
4323.33776577182 832.1240778556863 735.9124949315155 -8.002015310721914
4359.43491924653 840.9285350862093 718.5877678369777 -2.0441584953245138
4403.833312332677 853.4405629605167 688.9089679261854 -4.483449764440595
4458.5325136957945 870.5532259402495 643.9182898671542 -8.461848932170989
4275.6377451006565 848.2821355118955 657.861920450802 0.27627616544473044
4279.6812069370335 842.7704987967116 688.6024975577365 -0.8152586735881345
4284.815342590972 837.7459881515142 717.6969852505894 -2.6163020795769283
4295.0392893935295 834.9947324995858 739.1333169187853 -14.960652095521567
4315.685230452786 836.8982370719702 744.9181309508382 -5.548741304251578
4348.692141444404 844.3225037708656 732.183806120515 -0.27587985451887603
4393.029941540687 856.8074690857293 702.5285344929658 3.572663555565824
4445.729574238274 873.0270676038206 660.4511767448286 35.4021493229963
4259.760831644593 856.7006148417495 642.4862826543548 1.4258604098349328
4267.924616791757 853.0292321687358 667.0020715374453 0.11050189202182881
4275.118914101089 848.9248485446234 692.9883719332084 0.1908734952206377
4280.192456765162 843.8732753399821 722.1765802227692 -1.6040710335637154
4289.446915729888 840.6890187369548 745.0673924756766 -16.66004414935601
4307.972102143885 841.6453337288106 754.0200237190053 -9.189011591074523
4337.888770652413 847.6894098960781 745.885633200613 -2.437106690654688
4380.2270020831675 859.2813107493004 719.1658598529744 0.032186935359287065
4429.7757993078 874.0936561763205 681.7324131075953 -8.51748602822321
4249.987541680299 860.5275844775047 654.7557030260076 0.4950369113818919
4261.302162300418 858.2634548955624 674.4986811180216 3.0412612810797883
4269.526540437447 854.6191347819926 698.9255258672974 -1.005606593972924
4275.630163929218 850.0276250878939 726.5604270729291 -7.34465934040491
4284.884622893944 846.8433684848665 749.447236507216 -10.374804330550674
4301.349647652547 846.8795564556372 761.4844508223404 -6.045626737908309
4328.176073677984 851.543442091277 757.9611586260007 -1.889983589468602
4367.363469635784 861.7280898534277 735.9154087777902 -1.0379054909312109
4415.882186032719 876.0803717699052 699.9505361089421 4.432303267324433
4211.465118499451 866.1494947733324 636.9161965271334 -1.1276509846544251
4227.930143258054 866.1856827441029 648.7946442289352 2.100463807809538
4241.304925533566 864.8416801832459 665.3847737949887 -5.184357441540084
4254.67970780908 863.4976776223888 681.9971781966584 -0.47205324849938357
4265.933735439335 861.2064854810029 701.8382213503943 4.016899653654477
4273.128032748667 857.1021018568905 727.8278717525558 3.022541172085192
4280.322330057998 852.997718232778 753.8225772650771 -7.868487872164365
4293.697112333512 851.653715671921 770.5038426315698 -8.773315245714764
4318.40278371369 855.3704117270321 770.139452430219 -1.9237785146855646
4355.530018016097 864.6349324680976 751.1361321866427 2.497520799670386
4401.988572757638 878.06708736349 718.1931997413263 11.068137136706877
4202.721909362854 870.4365279196301 647.682699488207 0.38783423782656956
4218.15685329376 870.0126523798581 661.1034067091268 -10.777549355757126
4236.682039707757 870.9689673717138 669.8665945577712 12.487738887140775
4250.05682198327 869.6249648108568 686.4685267867036 -24.52394594782674
4262.401523431087 867.8208987394571 704.6517060620523 6.713865342007826
4269.595820740418 863.7165151153447 730.6419763872834 2.1868367953090853
4275.699444232189 859.125005421246 758.2849508512228 -0.38637913579432426
4285.983984024612 856.4008123287613 779.6197735890395 -7.430564847763763
4307.660005911564 858.7643804116883 783.7912914405711 -1.9910109512734766
4342.727078558576 867.1087741316688 767.8354373358052 1.9289204645896663
4385.004716999466 878.6736124254472 741.1112161451337 -1.9460269861487198
4177.574268457518 874.7144356546007 646.5600116982071 -0.2920820766983077
4194.039293216121 874.7506236253715 658.3655436185742 -5.092784817610467
4213.5945604578155 876.1670021277698 665.5073128681935 8.175919248672217
4230.05958521642 876.2031900985404 677.3790288628246 -10.293061950960647
4248.584771630417 877.159505090396 686.1576624732006 46.02544390254027
4258.869311422839 874.4353119979113 707.457496686933 0.7041499362358922
4265.033527904474 869.8708648632563 735.0075249103774 -0.15184930322081075
4269.076989740851 864.3592281480725 765.7668018962247 -0.6251485700733338
4277.301367877879 860.7149080345025 790.2057147775711 -5.528408713790303
4296.856635119574 862.1312865369009 797.5492967997013 -3.5657817126395517
4326.7733036281015 868.1753627041686 789.3073479713946 -3.570094255210347
4369.050942068991 879.740200997947 762.5115599710389 -2.5613492512327825
4152.3660345623175 878.9652808301278 645.6108471544808 -0.29173339558849315
4169.861140148618 879.4615323114409 655.7950274838042 0.2382961126976896
4187.356245734918 879.9577837927542 666.0130234358384 -2.898521257821442
4205.942025138781 880.9411613440536 674.6061927835306 -7.736733544665638
4225.497292380474 882.357539846452 681.7632557488477 -8.337492857068044
4244.022478794473 883.3138548383076 690.5235210225028 18.469219389325456
4255.337099414592 881.0497252563655 710.2555932250378 1.4269187969243202
4261.440722906363 876.4582155622668 737.8996438645923 0.5389132096963768
4263.4846160772095 870.0535143854414 771.6912289888579 1.0241078261060297
4269.58823956898 865.4620046913427 799.3337039686037 -3.983534536083963
4285.023183499887 865.0381291515707 812.8786351856588 -9.35378247001445
